vehicle_id,fuel_type,drivetrain,transmission,custom_label_0
29856,Petrol,,Automatic,$80k+
30040,Diesel,4WD,Automatic,$20k-$40k
30264,Diesel,4WD,Automatic,$80k+
31133,Petrol,,Manual,$40k-$80k
31362,Petrol,4WD,Automatic,$20k-$40k
31487,Petrol,,Automatic,$20k-$40k
31654,Petrol,,Automatic,$80k+
31907,Petrol,,Automatic,Under $20k
32021,Hybrid,4WD,Automatic,$20k-$40k
32024,Petrol,,Automatic,$80k+
32036,Petrol,,Automatic,$80k+
32062,Diesel,4WD,Automatic,$20k-$40k
32075,Diesel,4WD,Automatic,$40k-$80k
32105,Petrol,,Automatic,Under $20k
32128,Petrol,,Automatic,$20k-$40k
32210,Petrol,,Automatic,$20k-$40k
32265,Petrol,4WD,Automatic,$20k-$40k
32270,Petrol,4WD,Automatic,$20k-$40k
32274,Petrol,,Automatic,Under $20k
32287,Petrol,,Automatic,$20k-$40k
32293,Petrol,,Automatic,$20k-$40k
32298,Diesel,AWD,Automatic,Under $20k
32310,Petrol,,Automatic,Under $20k
32322,Petrol,,Automatic,Under $20k
32323,Petrol,,Automatic,Under $20k
32337,Petrol,,Automatic,$20k-$40k
32339,Hybrid,4WD,Automatic,$40k-$80k
32361,Petrol,,Automatic,$20k-$40k
32369,Petrol,,Automatic,Under $20k
32414,Petrol,,Automatic,$20k-$40k
32436,Petrol,,Automatic,$20k-$40k
32457,Diesel,4WD,Automatic,Under $20k
32470,Petrol,,Automatic,Under $20k
32472,Petrol,4WD,Automatic,$20k-$40k
32474,Petrol,,Automatic,$20k-$40k
32434,Hybrid,4WD,Automatic,$20k-$40k
32496,Petrol,,Automatic,$20k-$40k
32503,Hybrid,4WD,Automatic,$40k-$80k
32508,Petrol,,Automatic,$80k+
32515,Petrol,,Automatic,$80k+
32345,Diesel,4WD,Automatic,$80k+
32526,Petrol,,Automatic,Under $20k
32588,Petrol,,Automatic,$20k-$40k
32637,Petrol,,Automatic,Under $20k
32647,Petrol,,Automatic,$20k-$40k
32684,Petrol,,Automatic,Under $20k
32746,Petrol,,Automatic,$20k-$40k
32751,Diesel,4WD,Automatic,$40k-$80k
32789,Petrol,,Automatic,Under $20k
