"vehicle_id","year","make","model","description","body_style","drivetrain","mileage.value","mileage.unit","URL","title","price","state_of_vehicle","exterior_color","address.addr1","address.city","address.region","address.country","latitude","longitude","sale_price","image[0].url","fuel_type","transmission","custom_label_0"
"29856","2019","Dodge","Challenger","2019 Dodge Challenger HELLCAT WIDEBODY AUTO 6.2L V8 (717hp) SUPERCHARGED COUPE","Coupe","","34900","KM","https://www.4guys.co.nz/vehicle-details?id=2517017","2019 Dodge Challenger HELLCAT WIDEBODY AUTO 6.2L V8 (717hp) SUPERCHARGED COUPE","164800 NZD","USED","Pitch Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=66667469&w=500&h=375&l=true","Petrol","Automatic","$80k+"
"30040","2019","Holden","Colorado","2019 Holden Colorado LTZ 4WD D/CAB (NZ NEW) AUTO 2.8L TURBO DIESEL","Other","4WD","60201","KM","https://www.4guys.co.nz/vehicle-details?id=2575786","2019 Holden Colorado LTZ 4WD D/CAB (NZ NEW) AUTO 2.8L TURBO DIESEL","39800 NZD","USED","Grey","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=91325230&w=500&h=375&l=true","Diesel","Automatic","$20k-$40k"
"30264","2020","Chevrolet","Silverado","2020 Chevrolet Silverado 2500HD LTZ 4WD Z71 AUTO 6.6L TURBO DIESEL CREWCAB","Other","4WD","52437","KM","https://www.4guys.co.nz/vehicle-details?id=2675889","2020 Chevrolet Silverado 2500HD LTZ 4WD Z71 AUTO 6.6L TURBO DIESEL CREWCAB","124800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=96957478&w=500&h=375&l=true","Diesel","Automatic","$80k+"
"31133","2016","Chevrolet","Camaro","2016 Chevrolet Camaro 2SS (2016 FACELIFT) 6SPD MANUAL 6.2L V8 (455hp) RS COUPE","Coupe","","46540","KM","https://www.4guys.co.nz/vehicle-details?id=2963073","2016 Chevrolet Camaro 2SS (2016 FACELIFT) 6SPD MANUAL 6.2L V8 (455hp) RS COUPE","79800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","74800 NZD","https://data.autoplay.co.nz/image.ashx?id=72563921&w=500&h=375&l=true","Petrol","Manual","$40k-$80k"
"31362","2020","Mazda","CX-5","2020 Mazda CX-5 25T L PACKAGE 4WD AUTO 2.5L TURBO 5 DOOR","SUV","4WD","37550","KM","https://www.4guys.co.nz/vehicle-details?id=3046456","2020 Mazda CX-5 25T L PACKAGE 4WD AUTO 2.5L TURBO 5 DOOR","34800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=75314276&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"31487","2022","Mazda","CX-5","2022 Mazda CX-5 25S EXCLUSIVE MODE AUTO 2.5L 5 DOOR","SUV","","19250","KM","https://www.4guys.co.nz/vehicle-details?id=3093484","2022 Mazda CX-5 25S EXCLUSIVE MODE AUTO 2.5L 5 DOOR","39800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=75665531&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"31654","2019","Chevrolet","Corvette","2019 Chevrolet Corvette C7 Z51 3LT GRAND SPORT AUTO 6.2L V8 (460hp) COUPE","Coupe","","29162","KM","https://www.4guys.co.nz/vehicle-details?id=3142234","2019 Chevrolet Corvette C7 Z51 3LT GRAND SPORT AUTO 6.2L V8 (460hp) COUPE","139800 NZD","USED","Elkhart Lake Blue Metallic","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=76110641&w=500&h=375&l=true","Petrol","Automatic","$80k+"
"31907","2014","Holden","Barina","2014 Holden Barina RS HATCHBACK (NZ NEW) AUTO 1.4L TURBO 5 DOOR","Hatchback","","71420","KM","https://www.4guys.co.nz/vehicle-details?id=3244432","2014 Holden Barina RS HATCHBACK (NZ NEW) AUTO 1.4L TURBO 5 DOOR","12800 NZD","USED","Tigre Orange","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=78467307&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32021","2019","MINI","Cooper","2019 MINI Cooper CROSSOVER 4WD HYBRID AUTO 1.5L TURBO 5 DOOR","Hatchback","4WD","26691","KM","https://www.4guys.co.nz/vehicle-details?id=3292461","2019 MINI Cooper CROSSOVER 4WD HYBRID AUTO 1.5L TURBO 5 DOOR","36800 NZD","USED","Grey","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=80365780&w=500&h=375&l=true","Hybrid","Automatic","$20k-$40k"
"32024","2022","Dodge","Challenger","2022 Dodge Challenger SCAT PACK WIDEBODY AUTO 6.4L V8 (485hp) SHAKER COUPE","Coupe","","788","KM","https://www.4guys.co.nz/vehicle-details?id=3295401","2022 Dodge Challenger SCAT PACK WIDEBODY AUTO 6.4L V8 (485hp) SHAKER COUPE","139800 NZD","USED","TorRed","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=81244702&w=500&h=375&l=true","Petrol","Automatic","$80k+"
