ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price,Formatted sale price
29856,,2019 Dodge Challenger,https://www.4guys.co.nz/vehicle-details?id=2517017,https://dataapi.autoplay.co.nz/image.ashx?id=66667469&w=500&h=375&l=true,"34,900 km",2019 Dodge Challenger Hellcat Widebody Auto 6.2L V8 (717hp) Supercharged Coupe,Coupe,164800.00 NZD,,Dodge; Challenger; 2019; Coupe,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Dodge;{_model}=Challenger;{_year}=2019,,,,,,
30040,,2019 Holden Colorado,https://www.4guys.co.nz/vehicle-details?id=2575786,https://dataapi.autoplay.co.nz/image.ashx?id=91325230&w=500&h=375&l=true,"60,201 km",2019 Holden Colorado Ltz 4Wd D/Cab (NZ New) Auto 2.8L Turbo Diesel,Utility,39800.00 NZD,,Holden; Colorado; 2019; Utility,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Holden;{_model}=Colorado;{_year}=2019,,,,,,
30264,,2020 Chevrolet Silverado,https://www.4guys.co.nz/vehicle-details?id=2675889,https://dataapi.autoplay.co.nz/image.ashx?id=96957478&w=500&h=375&l=true,"52,437 km",2020 Chevrolet Silverado 2500Hd Ltz 4Wd Z71 Auto 6.6L Turbo Diesel Crewcab,Utility,124800.00 NZD,,Chevrolet; Silverado; 2020; Utility,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Chevrolet;{_model}=Silverado;{_year}=2020,,,,,,
31133,,2016 Chevrolet Camaro,https://www.4guys.co.nz/vehicle-details?id=2963073,https://dataapi.autoplay.co.nz/image.ashx?id=72563921&w=500&h=375&l=true,"46,540 km",2016 Chevrolet Camaro 2Ss (2016 Facelift) 6Spd Manual 6.2L V8 (455hp) Rs Coupe,Coupe,79800.00 NZD,74800.00 NZD,Chevrolet; Camaro; 2016; Coupe,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Chevrolet;{_model}=Camaro;{_year}=2016,,,,,,
31362,,2020 Mazda Cx-5,https://www.4guys.co.nz/vehicle-details?id=3046456,https://dataapi.autoplay.co.nz/image.ashx?id=75314276&w=500&h=375&l=true,"37,550 km",2020 Mazda Cx-5 25T L Package 4Wd Auto 2.5L Turbo 5 Door,RV/SUV,34800.00 NZD,,Mazda; CX-5; 2020; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mazda;{_model}=CX-5;{_year}=2020,,,,,,
31487,,2022 Mazda Cx-5,https://www.4guys.co.nz/vehicle-details?id=3093484,https://dataapi.autoplay.co.nz/image.ashx?id=75665531&w=500&h=375&l=true,"19,250 km",2022 Mazda Cx-5 25S Exclusive Mode Auto 2.5L 5 Door,RV/SUV,39800.00 NZD,,Mazda; CX-5; 2022; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mazda;{_model}=CX-5;{_year}=2022,,,,,,
31654,,2019 Chevrolet Corvette,https://www.4guys.co.nz/vehicle-details?id=3142234,https://dataapi.autoplay.co.nz/image.ashx?id=76110641&w=500&h=375&l=true,"29,162 km",2019 Chevrolet Corvette C7 Z51 3Lt Grand Sport Auto 6.2L V8 (460hp) Coupe,Coupe,144800.00 NZD,139800.00 NZD,Chevrolet; Corvette; 2019; Coupe,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Chevrolet;{_model}=Corvette;{_year}=2019,,,,,,
31692,,2011 Bmw X1,https://www.4guys.co.nz/vehicle-details?id=3150315,https://dataapi.autoplay.co.nz/image.ashx?id=76463769&w=500&h=375&l=true,"74,130 km",2011 Bmw X1 Sdrive20I Sport Auto 2.0L 5 Door,RV/SUV,11800.00 NZD,,BMW; X1; 2011; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=BMW;{_model}=X1;{_year}=2011,,,,,,
31907,,2014 Holden Barina,https://www.4guys.co.nz/vehicle-details?id=3244432,https://dataapi.autoplay.co.nz/image.ashx?id=78467307&w=500&h=375&l=true,"71,420 km",2014 Holden Barina Rs Hatchback (NZ New) Auto 1.4L Turbo 5 Door,Hatchback,12800.00 NZD,,Holden; Barina; 2014; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Holden;{_model}=Barina;{_year}=2014,,,,,,
32021,,2019 Mini Cooper,https://www.4guys.co.nz/vehicle-details?id=3292461,https://dataapi.autoplay.co.nz/image.ashx?id=80365780&w=500&h=375&l=true,"26,691 km",2019 Mini Cooper Crossover 4Wd Hybrid Auto 1.5L Turbo 5 Door,Hatchback,36800.00 NZD,,MINI; Cooper; 2019; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=MINI;{_model}=Cooper;{_year}=2019,,,,,,
32024,,2022 Dodge Challenger,https://www.4guys.co.nz/vehicle-details?id=3295401,https://dataapi.autoplay.co.nz/image.ashx?id=81244702&w=500&h=375&l=true,788 km,2022 Dodge Challenger Scat Pack Widebody Auto 6.4L V8 (485hp) Shaker Coupe,Coupe,139800.00 NZD,,Dodge; Challenger; 2022; Coupe,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Dodge;{_model}=Challenger;{_year}=2022,,,,,,
