"vehicle_id","title","description","url","make","model","year","mileage.value","mileage.unit","image_link","transmission","body_style","drivetrain","price","exterior_color","state_of_vehicle","fuel_type","sale_price","availability","vehicle_type","address.addr1","address.city","address.region","address.country","latitude","longitude","dealer_name"
"29856","2019 Dodge Challenger Hellcat Widebody Auto 6.2L V8 (717hp) Supercharged Coupe","2019 Dodge Challenger Hellcat Widebody Auto 6.2L V8 (717hp) Supercharged Coupe","https://www.4guys.co.nz/vehicle-details?id=2517017","Dodge","Challenger","2019","34900","KM","https://data.autoplay.co.nz/image.ashx?id=66667469&w=800&h=600&l=true","Automatic","COUPE","","164800 NZD","Pitch Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"30040","2019 Holden Colorado Ltz 4WD D/Cab (NZ New) Auto 2.8L Turbo Diesel","2019 Holden Colorado Ltz 4WD D/Cab (NZ New) Auto 2.8L Turbo Diesel","https://www.4guys.co.nz/vehicle-details?id=2575786","Holden","Colorado","2019","60201","KM","https://data.autoplay.co.nz/image.ashx?id=91325230&w=800&h=600&l=true","Automatic","OTHER","4X4","39800 NZD","Grey","Used","DIESEL","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"30264","2020 Chevrolet Silverado 2500Hd Ltz 4WD Z71 Auto 6.6L Turbo Diesel Crewcab","2020 Chevrolet Silverado 2500Hd Ltz 4WD Z71 Auto 6.6L Turbo Diesel Crewcab","https://www.4guys.co.nz/vehicle-details?id=2675889","Chevrolet","Silverado","2020","52437","KM","https://data.autoplay.co.nz/image.ashx?id=96957478&w=800&h=600&l=true","Automatic","OTHER","4X4","124800 NZD","White","Used","DIESEL","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"31133","2016 Chevrolet Camaro 2SS (2016 Facelift) 6Spd Manual 6.2L V8 (455hp) RS Coupe","2016 Chevrolet Camaro 2SS (2016 Facelift) 6Spd Manual 6.2L V8 (455hp) RS Coupe","https://www.4guys.co.nz/vehicle-details?id=2963073","Chevrolet","Camaro","2016","46540","KM","https://data.autoplay.co.nz/image.ashx?id=72563921&w=800&h=600&l=true","Manual","COUPE","","79800 NZD","Black","Used","GASOLINE","74800 NZD","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"31362","2020 Mazda Cx-5 25T L Package 4WD Auto 2.5L Turbo 5 Door","2020 Mazda Cx-5 25T L Package 4WD Auto 2.5L Turbo 5 Door","https://www.4guys.co.nz/vehicle-details?id=3046456","Mazda","CX-5","2020","37550","KM","https://data.autoplay.co.nz/image.ashx?id=75314276&w=800&h=600&l=true","Automatic","SUV","4X4","34800 NZD","White","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"31487","2022 Mazda Cx-5 25S Exclusive Mode Auto 2.5L 5 Door","2022 Mazda Cx-5 25S Exclusive Mode Auto 2.5L 5 Door","https://www.4guys.co.nz/vehicle-details?id=3093484","Mazda","CX-5","2022","19250","KM","https://data.autoplay.co.nz/image.ashx?id=75665531&w=800&h=600&l=true","Automatic","SUV","","39800 NZD","White","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"31654","2019 Chevrolet Corvette C7 Z51 3Lt Grand Sport Auto 6.2L V8 (460hp) Coupe","2019 Chevrolet Corvette C7 Z51 3Lt Grand Sport Auto 6.2L V8 (460hp) Coupe","https://www.4guys.co.nz/vehicle-details?id=3142234","Chevrolet","Corvette","2019","29162","KM","https://data.autoplay.co.nz/image.ashx?id=76110641&w=800&h=600&l=true","Automatic","COUPE","","139800 NZD","Elkhart Lake Blue Metallic","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"31907","2014 Holden Barina RS Hatchback (NZ New) Auto 1.4L Turbo 5 Door","2014 Holden Barina RS Hatchback (NZ New) Auto 1.4L Turbo 5 Door","https://www.4guys.co.nz/vehicle-details?id=3244432","Holden","Barina","2014","71420","KM","https://data.autoplay.co.nz/image.ashx?id=78467307&w=800&h=600&l=true","Automatic","HATCHBACK","","12800 NZD","Tigre Orange","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32021","2019 Mini Cooper Crossover 4WD Hybrid Auto 1.5L Turbo 5 Door","2019 Mini Cooper Crossover 4WD Hybrid Auto 1.5L Turbo 5 Door","https://www.4guys.co.nz/vehicle-details?id=3292461","MINI","Cooper","2019","26691","KM","https://data.autoplay.co.nz/image.ashx?id=80365780&w=800&h=600&l=true","Automatic","HATCHBACK","4X4","36800 NZD","Grey","Used","HYBRID","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32024","2022 Dodge Challenger Scat Pack Widebody Auto 6.4L V8 (485hp) Shaker Coupe","2022 Dodge Challenger Scat Pack Widebody Auto 6.4L V8 (485hp) Shaker Coupe","https://www.4guys.co.nz/vehicle-details?id=3295401","Dodge","Challenger","2022","788","KM","https://data.autoplay.co.nz/image.ashx?id=81244702&w=800&h=600&l=true","Automatic","COUPE","","139800 NZD","TorRed","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
